FACTOR07,UBIGEO,RESULT,ESTRATO,P101,P102,P103,P103A,P110,P111A,P1121,P1141,P1142,P1143,P1144,Ingreso
121.454750061035,140112,7,4, , , , , , , , , , , , 
121.454750061035,140112,1,4,1,1,5,1,1,1,1,0,1,0,1,1609.17724609375
120.403099060059,140102,1,7,1,3,5,4,1,1,1,0,1,0,0,1914.48958333333
120.403099060059,140102,1,7,1,3,5,4,1,1,1,0,1,1,1,3910.37174479167
120.403099060059,140102,1,7,1,3,5,4,1,1,1,0,1,0,1,1333.18204752604
120.403099060059,140102,1,7,1,3,6,4,1,1,1,0,1,0,0,1367.33707682292
120.403099060059,140102,1,7,1,1,5,4,1,1,1,0,1,0,0,2381.92236328125
120.403099060059,140102,1,7,1,3,5,4,1,5,1,0,1,0,0,1358.5732421875
120.403099060059,140102,1,7,1,3,5,4,1,5,1,0,1,0,0,2325.91813151042
120.403099060059,140102,1,7,1,5,6,4,1,5,1,0,1,0,0,1179.14689127604
1335.91149902344,150106,1,1,1,1,5,1,1,1,1,0,1,1,1,3834.34895833333
1335.91149902344,150106,1,1,1,1,5,4,1,1,1,0,1,0,1,1562.77783203125
1335.91149902344,150106,1,1,1,7,5,4,1,1,1,0,1,0,1,3036.03157552083
1335.91149902344,150106,1,1,1,1,5,1,3,5,1,0,1,0,1,4231.63932291667
1335.91149902344,150106,7,1, , , , , , , , , , , , 
1335.91149902344,150106,2,1,1,1,5,4,1,1,1,0,1,1,1,1622.28255208333
543.099914550781,150135,1,1,2,1,3,1,1,1,1,1,1,0,1,2022.05647786458
543.099914550781,150135,1,1,2,1,3,1,1,1,1,1,1,0,0,1137.78963216146
543.099914550781,150135,1,1,2,1,5,1,1,1,1,0,1,1,1,2605.94661458333
543.099914550781,150135,7,1, , , , , , , , , , , , 
543.099914550781,150135,1,1,2,1,3,1,1,1,1,1,1,1,1,6239
543.099914550781,150135,1,1,1,1,5,1,1,1,1,0,1,0,1,1394.79427083333
543.099914550781,150135,1,1,2,1,2,1,1,1,1,0,1,1,1,4103.41666666667
623.897583007813,150117,2,1,1,1,3,1,1,1,1,1,1,1,1,8067.56901041667
623.897583007813,150117,7,1, , , , , , , , , , , , 
623.897583007813,150117,3,1, , , , , , , , , , , , 
623.897583007813,150117,2,1,1,1,2,1,1,1,1,1,1,1,1,5046.20703125
623.897583007813,150117,2,1,2,1,3,1,1,1,1,1,1,1,1,5341.41373697917
623.897583007813,150117,2,1,1,1,2,1,1,1,1,1,1,1,0,5317.7666015625
1335.91149902344,150117,2,1,1,1,5,1,1,1,1,0,1,1,1,3804.83333333333
1335.91149902344,150117,2,1,1,1,5,1,1,1,1,0,1,0,1,6329.31380208333
1335.91149902344,150117,2,1,1,1,3,1,1,1,1,0,1,0,0,2362.53857421875
1335.91149902344,150117,2,1,1,3,6,4,1,1,1,0,1,0,0,1674.87613932292
1335.91149902344,150117,1,1, , , , ,1,1,1,0,1,1,0,276.501118977865
1335.91149902344,150117,2,1,1,1,3,1,1,1,1,0,1,0,1,6519.41666666667
1335.91149902344,150117,2,1,1,1,5,4,1,1,1,0,1,0,0,1992.68115234375
543.099914550781,150110,2,1,1,1,2,1,1,1,1,1,1,1,1,5162.39713541667
543.099914550781,150110,2,1,2,1,3,1,2,2,1,0,1,1,1,948.166666666667
543.099914550781,150110,1,1,1,1,5,1,1,1,1,0,1,1,1,8815.47135416667
543.099914550781,150110,1,1,2,1,5,1,1,1,1,0,1,0,1,1865.05436197917
543.099914550781,150110,3,1, , , , , , , , , , , , 
